dbo:Place;;;where is the county of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/county ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/county> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the district of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/district ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/district> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the end point of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/endPoint ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/endPoint> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the highest place of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/highestPlace ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/highestPlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the intercommunality of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/intercommunality ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/intercommunality> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the located in area of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/locatedInArea ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/locatedInArea> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the lowest place of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/lowestPlace ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/lowestPlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the management place of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/managementPlace ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/managementPlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the municipality of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/municipality ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/municipality> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the nearest city of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/nearestCity ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/nearestCity> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the origin of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/origin ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/origin> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the region of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/region ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/region> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the source place of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/sourcePlace ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/sourcePlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the source region of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/sourceRegion ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/sourceRegion> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the start point of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/startPoint ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/startPoint> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the state of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/state ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/state> [] . ?a a <http://dbpedia.org/ontology/Place> }
dbo:Place;;;where is the subregion of <A> located in;select ?a where { <A> http://dbpedia.org/ontology/subregion ?b . ?b <http://dbpedia.org/ontology/location> ?a };select distinct(?a) where { ?a <http://dbpedia.org/ontology/subregion> [] . ?a a <http://dbpedia.org/ontology/Place> }
